dist_roads,DEM,TWI,plan_curvature,profil_curvature,Slope,Geology,LandCover,LS
90.13877869,957.0999756,10.01739693,0.002575421,1.56E-05,11.04552746,2,41,0
282.8427124,536.0999756,9.211620331,-0.00012923,-0.000289093,3.571875334,1,21,0
90.13877869,768.0999756,10.08242893,0.006235424,-0.00240442,44.03434372,2,41,0
79.05693817,449.3999939,7.352669239,0.00420136,0.001161419,11.32540417,24,21,1
25,784.7999878,8.601677895,0.002088709,-0.002711194,19.0155201,1,41,1
25,991.5,13.79417896,-0.001292054,0.001267907,8.282752037,9,21,0
35.35533905,569.2000122,8.86015892,-0.003467381,0.00069258,23.91985703,24,31,1
70.7106781,1211.400024,9.461057663,-0.001801836,-0.004521953,21.26268578,9,21,0
413.8236389,1592.5,8.289951324,-0.002070188,0.00560989,38.11383438,7,31,1
348.2097168,1401.5,9.288372993,0.002706486,-0.005613631,27.48765755,1,21,1
25,609.5999756,12.91121864,-0.021708801,0.005331335,21.33613205,1,41,1
35.35533905,744.4000244,10.09716034,-1.55E-05,-0.004815648,18.50699997,24,41,1
0,513,11.78012657,-0.002258863,0.005101196,17.27578926,24,11,1
134.6291199,1417.099976,10.10814381,0.001900509,0.003820822,18.31839752,1,21,1
276.1340332,657.9000244,15.18707943,-0.008686727,0.001073137,4.280394077,1,41,0
838.15271,1317.400024,9.244324684,-0.007361577,0.019838228,25.79492569,11,41,0
25,1454.599976,7.775059223,-0.002363578,-0.002363383,27.70493126,1,41,1
520.2163086,1555.099976,9.770611763,0.003197045,-0.004482838,29.72957993,11,31,0
265.7536316,722.0999756,7.51073885,0.005390319,-0.011409485,18.88049889,24,21,0
575.5432129,719,9.170306206,-0.007089389,0.02443063,35.58786011,11,41,1
55.90169907,1060.800049,9.379753113,0.00369933,1.89E-05,20.27079964,1,41,0
660.0189209,1595.300049,7.946007729,0.000422263,-0.006297854,41.51590347,2,41,1
515.3881836,1507,13.68040752,-0.013061457,-0.011141535,31.21476173,31,41,0
645.1743774,745.7000122,11.4239893,-0.00078781,-0.000147967,4.68652916,7,41,0
450,1697.5,6.567915916,0.032837815,-0.016282108,23.70100021,2,41,0
0,724.0999756,8.577517509,0.007091166,-0.001548776,3.367567539,1,41,0
75,1166.599976,12.14187717,-0.006166171,0.002954141,17.73949051,11,41,1
182.0027466,497.5,8.512097359,-0.001686632,0.005833388,20.65282822,24,31,1
50,1032.099976,8.588385582,0.001834978,-0.001844905,24.96936035,1,21,0
1878.330322,2535.600098,8.221709251,-0.013808521,0.006351244,40.02675629,2,51,0
35.35533905,453.1000061,9.310804367,0.005091287,0.002691238,15.78238297,1,15,1
125,577.9000244,9.49730587,0.000240041,0.000239943,8.010627747,24,11,0
195.2562408,622.5,8.642208099,-0.004349717,-0.004669737,12.44171333,24,21,0
1060.954712,1891.5,5.729177952,0.018380792,-0.010739325,45.44325256,2,41,0
588.4301147,1670.599976,8.922185898,-0.009267386,0.002572653,33.70355988,7,41,1
90.13877869,814.4000244,9.898803711,-0.00048136,0.000638464,25.21886444,1,41,0
106.0660172,1305.699951,7.576565266,0.023526309,-0.009273301,9.096094131,1,21,1
0,501.7999878,10.64332485,0.001817306,5.73E-05,5.959453106,1,21,1
313.249115,783,8.81242466,0.000822246,-0.000137812,2.663698435,1,21,0
125,1035.599976,11.24121666,-0.00033233,-0.002571979,4.221559048,1,21,0
225,667.7000122,6.517652035,0.002303658,-0.006336381,24.77897453,24,41,0
35.35533905,1321.900024,10.81672955,-0.000160766,0.005279078,14.75168991,1,15,1
0,621.5,9.727145195,-0.001621386,-2.14E-05,4.263804436,1,21,0
150,636.5,9.481108665,0.000820153,-0.003499867,20.87729645,24,21,1
811.2490234,1401.699951,12.21272469,-0.002077835,0.001442478,3.729938984,2,41,0
316.2277527,1459.300049,9.143695831,-0.000169187,0.002550344,25.06391525,11,41,1
3861.427734,2124.300049,8.426213264,0.006204183,0.024124105,62.44923019,2,51,0
